,enter_time,leave_time
flow_2_113,1018.0,nan
flow_0_113,1018.0,nan
flow_2_114,1027.0,nan
flow_0_114,1027.0,nan
flow_1_114,1027.0,nan
flow_3_114,1027.0,nan
flow_2_115,1036.0,nan
flow_3_115,1036.0,nan
flow_1_115,1036.0,nan
flow_0_115,1036.0,nan
flow_0_116,1045.0,nan
flow_2_116,1045.0,nan
flow_1_116,1045.0,nan
flow_3_116,1045.0,nan
flow_3_117,1054.0,nan
flow_2_117,1054.0,nan
flow_1_117,1054.0,nan
flow_0_117,1054.0,nan
flow_1_118,1063.0,nan
flow_0_118,1063.0,nan
flow_3_118,1063.0,nan
flow_2_118,1063.0,nan
flow_3_119,1072.0,nan
flow_1_119,1072.0,nan
flow_2_119,1072.0,nan
flow_0_119,1072.0,nan
flow_0_120,1081.0,nan
flow_2_120,1081.0,nan
flow_1_120,1081.0,nan
flow_3_120,1081.0,nan
flow_3_121,1090.0,nan
flow_0_121,1090.0,nan
flow_2_121,1090.0,nan
flow_1_121,1090.0,nan
flow_2_122,1099.0,nan
flow_0_122,1099.0,nan
flow_3_122,1099.0,nan
flow_1_122,1099.0,nan
flow_1_123,1108.0,nan
flow_0_123,1108.0,nan
flow_2_123,1108.0,nan
flow_3_123,1108.0,nan
flow_1_124,1117.0,nan
flow_3_124,1117.0,nan
flow_2_124,1117.0,nan
flow_0_124,1117.0,nan
flow_1_125,1126.0,nan
flow_0_125,1126.0,nan
flow_3_125,1126.0,nan
flow_2_125,1126.0,nan
flow_3_126,1135.0,nan
flow_0_126,1135.0,nan
flow_1_126,1135.0,nan
flow_2_126,1135.0,nan
flow_2_127,1144.0,nan
flow_3_127,1144.0,nan
flow_1_127,1144.0,nan
flow_0_127,1144.0,nan
flow_1_128,1153.0,nan
flow_3_128,1153.0,nan
flow_2_128,1153.0,nan
flow_0_128,1153.0,nan
flow_0_129,1162.0,nan
flow_3_129,1162.0,nan
flow_2_129,1162.0,nan
flow_1_129,1162.0,nan
flow_0_130,1171.0,nan
flow_1_130,1171.0,nan
flow_3_130,1171.0,nan
flow_2_130,1171.0,nan
flow_2_131,1180.0,nan
flow_3_131,1180.0,nan
flow_1_131,1180.0,nan
flow_0_131,1180.0,nan
flow_1_132,1189.0,nan
flow_0_132,1189.0,nan
flow_3_132,1189.0,nan
flow_2_132,1189.0,nan
flow_3_133,1198.0,nan
flow_2_133,1198.0,nan
flow_1_133,1198.0,nan
flow_0_133,1198.0,nan
flow_3_134,1207.0,nan
flow_2_134,1207.0,nan
flow_0_134,1207.0,nan
flow_1_134,1207.0,nan
flow_3_135,1216.0,nan
flow_2_135,1216.0,nan
flow_0_135,1216.0,nan
flow_1_135,1216.0,nan
flow_0_136,1225.0,nan
flow_2_136,1225.0,nan
flow_3_136,1225.0,nan
flow_1_136,1225.0,nan
flow_1_137,1234.0,nan
flow_0_137,1234.0,nan
flow_3_137,1234.0,nan
flow_2_137,1234.0,nan
flow_1_138,1243.0,nan
flow_3_138,1243.0,nan
flow_0_138,1243.0,nan
flow_2_138,1243.0,nan
flow_2_139,1252.0,nan
flow_3_139,1252.0,nan
flow_0_139,1252.0,nan
flow_1_139,1252.0,nan
flow_0_140,1261.0,nan
flow_2_140,1261.0,nan
flow_1_140,1261.0,nan
flow_3_140,1261.0,nan
