-4.5 291 -1.5708,4.5 82.19 1.5708,179.955 -4.5 0,-131.125 -4.5 0,-4.5 -82.19 -1.5708,-291 -4.5 0,4.5 -291 1.5708,-4.5 -24.415 -1.5708,131.125 4.5 3.14159,-179.955 4.5 3.14159,291 4.5 3.14159,8.915 4.5 3.14159,4.5 -131.125 1.5708,-4.5 131.125 -1.5708,4.5 24.415 1.5708,-8.915 -4.5 0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-4.5 284 -1.5708,4.5 93.3 1.5708,191.065 -4.5 0,-120.015 -4.5 0,-4.5 -93.3 -1.5708,-284 -4.5 0,4.5 -284 1.5708,-4.5 -35.525 -1.5708,120.015 4.5 3.14159,-191.065 4.5 3.14159,284 4.5 3.14159,8.915 4.5 3.14159,4.5 -120.015 1.5708,-4.5 120.015 -1.5708,4.5 35.525 1.5708,-8.915 -4.5 0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-4.5 275 -1.5708,4.5 104.41 1.5708,202.175 -4.5 0,-108.905 -4.5 0,-4.5 -104.41 -1.5708,-275 -4.5 0,4.5 -275 1.5708,-4.5 -46.635 -1.5708,108.905 4.5 3.14159,-202.175 4.5 3.14159,275 4.5 3.14159,8.915 4.5 3.14159,4.5 -108.905 1.5708,-4.5 108.905 -1.5708,4.5 46.635 1.5708,-8.915 -4.5 0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-4.5 264.445 -1.5708,4.5 115.52 1.5708,213.285 -4.5 0,-97.795 -4.5 0,-4.5 -115.52 -1.5708,-264.445 -4.5 0,4.5 -264.445 1.5708,-4.5 -57.745 -1.5708,97.795 4.5 3.14159,-213.285 4.5 3.14159,264.445 4.5 3.14159,8.915 4.5 3.14159,4.5 -97.795 1.5708,-4.5 97.795 -1.5708,4.5 57.745 1.5708,-8.915 -4.5 0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-4.5 253.335 -1.5708,4.5 126.63 1.5708,224.395 -4.5 0,-86.685 -4.5 0,-4.5 -126.63 -1.5708,-253.335 -4.5 0,4.5 -253.335 1.5708,-4.5 -68.855 -1.5708,86.685 4.5 3.14159,-224.395 4.5 3.14159,253.335 4.5 3.14159,8.915 4.5 3.14159,4.5 -86.685 1.5708,-4.5 86.685 -1.5708,4.5 68.855 1.5708,-8.915 -4.5 0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-4.5 242.225 -1.5708,4.5 137.74 1.5708,235.505 -4.5 0,-75.575 -4.5 0,-4.5 -137.74 -1.5708,-242.225 -4.5 0,4.5 -242.225 1.5708,-4.5 -79.965 -1.5708,75.575 4.5 3.14159,-235.505 4.5 3.14159,242.225 4.5 3.14159,8.915 4.5 3.14159,4.5 -75.575 1.5708,-4.5 75.575 -1.5708,4.5 79.965 1.5708,-8.915 -4.5 0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-4.5 231.115 -1.5708,4.5 148.85 1.5708,246.615 -4.5 0,-64.465 -4.5 0,-4.5 -148.85 -1.5708,-231.115 -4.5 0,4.5 -231.115 1.5708,-4.5 -91.075 -1.5708,64.465 4.5 3.14159,-246.615 4.5 3.14159,231.115 4.5 3.14159,8.915 4.5 3.14159,4.5 -64.465 1.5708,-4.5 64.465 -1.5708,4.5 91.075 1.5708,-8.915 -4.5 0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-4.5 220.005 -1.5708,4.5 159.96 1.5708,257.725 -4.5 0,-53.355 -4.5 0,-4.5 -159.96 -1.5708,-220.005 -4.5 0,4.5 -220.005 1.5708,-4.5 -102.185 -1.5708,53.355 4.5 3.14159,-257.725 4.5 3.14159,220.005 4.5 3.14159,8.915 4.5 3.14159,4.5 -53.355 1.5708,-4.5 53.355 -1.5708,4.5 102.185 1.5708,-8.915 -4.5 0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-4.5 208.895 -1.5708,4.5 171.07 1.5708,268.835 -4.5 0,-42.245 -4.5 0,-4.5 -171.07 -1.5708,-208.895 -4.5 0,4.5 -208.895 1.5708,-4.5 -113.295 -1.5708,42.245 4.5 3.14159,-268.835 4.5 3.14159,208.895 4.5 3.14159,8.915 4.5 3.14159,4.5 -42.245 1.5708,-4.5 42.245 -1.5708,4.5 113.295 1.5708,-8.915 -4.5 0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
-4.5 197.785 -1.5708,4.5 182.18 1.5708,279.945 -4.5 0,-33.246 -4.5 0,-4.5 -182.18 -1.5708,-197.785 -4.5 0,4.5 -197.785 1.5708,-4.5 -124.405 -1.5708,33.246 4.5 3.14159,-279.945 4.5 3.14159,197.785 4.5 3.14159,8.915 4.5 3.14159,4.5 -31.135 1.5708,-4.5 31.135 -1.5708,4.5 124.405 1.5708,-8.915 -4.5 0,;road_0_1_0 r r,road_1_0_1 r g,road_1_2_3 r g,road_2_1_2 r r,
